row_id	orders	rider	cost
1584034	209	1798	15.348144444444447
1588685	1078	1481	7.5180000000000007
1589750	627,948	2268	7.3719999999999999
1590167	0,422,608,652	2240	3.8917403732016287
1590224	132	3003	11.022301539746822
1593496	793	3435	8.6440000000000001
1598255	499	341	5.1113333333333326
1599179	644	1513	14.936000000000002
1600740	964	486	0.59127777777777846
1601060	199,968	1103	9.822000000000001
1603819	247	1755	2.7280000000000015
1606003	667	690	1.1120000000000001
1610998	175,432,615	2724	9.0820000000000007
1615950	129,569,1027	566	9.5120000000000005
1619810	791	2129	1.798
1620611	965	1359	12.4
1622014	30	1154	2.0659999999999998
1622754	214	1440	2.8679999999999994
1624688	607	908	17.608000000000001
1626361	877	2156	6.9740000000000011
1626813	946	1338	1.8279999999999994
1626876	963	2558	0.088677777777777606
1628505	91	1779	2.3060000000000005
1635194	154,409,775	3341	11.518000000000001
1637655	369,403	2779	3.1752062810044919
1639356	923	2157	0.70600000000000041
1639862	1063	1893	14.712000000000002
1639873	1064	2388	2.8100000000000005
1639989	1089	496	2.7408999999999981
1642795	206,1056	1203	7.8159999999999998
1644976	804	401	0.46600000000000019
1650062	651	1266	17.542000000000002
1650120	653	1733	8.0440000000000005
1650858	801	2840	0.53599999999999959
1651023	853	3275	1.3399999999999999
1651658	1001	2954	1.6222777777777773
1651816	191,543,687,892	2792	27.279388888888889
1652619	1154	1536	1.7365888888888876
1654772	385	213	2.588000000000001
1657001	783	1933	1.5820000000000007
1665984	85	654	1.2720000000000002
1667669	928,1015	2307	1.0928999999999991
1668190	523	3495	3.0320444444444457
1669998	913	2993	3.2259999999999991
1673817	516,1049	2356	3.891509088390896
1675125	638	2127	1.1020999999999999
1675332	672	2678	9.1180000000000003
1676274	817	1553	5.2640000000000002
1677864	159,782,1054	1641	13.662000000000001
1683223	970	1908	3.8860000000000015
1683987	1100	1901	4.7199999999999998
1693036	335	2383	1.2800000000000002
1695559	826	479	1.7199999999999998
1696270	974	2462	1.9073175932977904
1702428	905	2508	0.67199999999999882
1704325	836,848,1012	2466	2.3420000000000005
1709747	189,250	2970	1.3609450203865738
1715343	914	306	3.2177555555555557
1718154	229	23	3.1992555555555535
1723378	6	664	4.3560000000000008
1723485	603,645	2645	12.71935
1724085	823,969	2951	6.0501444444444443
1724557	217	1941	16.334
1727122	727	1728	11.554000000000002
1731475	278	681	0.72315555555555444
1732996	590	72	1.6760000000000002
1738534	388	1423	0.16289999999999974
1739539	566	2055	1.3045444444444447
1740120	271,351,618,1090	596	17.108000000000004
1741877	971	1276	10.555999999999999
1743936	61	3226	2.3199999999999998
1745847	430	2598	13.711344444444444
1751463	279	2638	1.0760000000000003
1753593	688	1951	2.3566149556786669
1757845	274	393	0.17306666666666465
1761750	941	2116	0.76999999999999957
1762763	1155	2459	1.508
1764186	147	1274	20.698444444444448
1766245	498,728	937	0.65399999999999991
1772108	365	317	0.84399999999999942
1775782	942	2290	3.3765855379188716
1781738	584,745,1088	2476	8.2420000000000027
1787769	102,464	599	4.2344000000000008
1788247	362,640	2580	5.3320000000000007
1800347	781	1650	2.9649444444444439
1805574	563,1112	2271	14.192000000000002
1808995	787,1019,1113	2235	11.372000000000002
1813436	293,390,786,1174	3308	7.6760829249387239
1821453	1150	1065	2.3620000000000001
1828092	1074	1194	4.9480000000000004
1829296	68	833	13.808
1831603	505	1528	3.3580000000000001
1838227	514	2155	3.8440000000000007
1838682	593	161	20.196000000000002
1839636	752	127	0.67391111111111401
1841023	1032	2789	5.1060000000000008
1841323	524,812	1192	3.27336038647343
1842873	228	860	0.53000000000000114
1843338	321	656	5.532
1849489	282	1185	5.3399999999999999
1850719	495	324	0.05400000000000027
1854600	177,221,626,731	2162	11.148128785261946
1855009	73	992	1.0220000000000002
1860732	11,704	522	3.9820000000000011
1862583	463,488	3346	10.222055555555556
1866786	1132	2221	1.1396444444444436
1866871	1156	2939	0.3321888888888912
1868724	208	2853	1.4634709617180224
1884042	125,348	1241	5.8780000000000001
1885068	818	1538	9.5299999999999994
1886168	1038	922	0.32326752136752024
1888326	232	1051	0.48599999999999977
1890562	113,983,1081	1883	1.8116000000000014
1891708	862	3410	1.3559999999999999
1892711	1058	2829	18.052
1897724	740	1462	20.102000000000004
1900535	24	1092	7.1080000000000005
1902376	344	255	1.8505444444444454
1907872	110	2501	1.6551888888888877
1908669	248	2012	4.590177777777777
1910170	547	1959	0.65799999999999947
1914779	423,1106,1119	2608	14.468000000000002
1914883	142	1087	0.93377684021986629
1916175	108,332,870	2212	6.468
